                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.96191,                0.83587,                 1.0746,                0.87476,                 0.7347,                0.85048,                0.67895,                0.83171,                0.63446,                0.97823,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     34,                0.92578,                 0.7947,                 1.0552,                0.85738,                0.75817,                0.85394,                  0.683,                0.82658,                0.62748,                0.97575,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     35,                 0.8924,                0.81815,                 1.0816,                0.77564,                0.82403,                0.85556,                0.68726,                0.82439,                0.62288,                0.97412,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                 0.8916,                0.80971,                 1.0647,                0.79285,                0.81462,                0.85301,                0.68619,                0.81747,                0.61778,                0.97027,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     37,                0.96812,                0.83896,                 1.0939,                0.82262,                0.80268,                0.85837,                0.68686,                0.81336,                0.61326,                0.96907,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     38,                0.95556,                  0.832,                 1.0871,                 0.8357,                0.79911,                0.85948,                0.68771,                0.81258,                0.61508,                0.96819,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     39,                0.91021,                 0.8053,                 1.0736,                0.83173,                0.80585,                0.86149,                0.69086,                0.80804,                0.61974,                0.96678,              7.541e-05,              7.541e-05,              7.541e-05
                     40,                0.95411,                0.82515,                 1.0768,                0.90181,                0.75943,                0.86101,                0.69106,                0.80433,                0.62199,                0.96464,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     41,                0.89306,                0.79766,                 1.0671,                0.88593,                0.77702,                0.86387,                0.69644,                0.80272,                0.61703,                0.96323,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     42,                0.93093,                0.81099,                 1.0785,                0.89188,                0.77417,                0.86253,                0.69613,                0.80322,                 0.6087,                0.96285,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     43,                  0.887,                0.76267,                 1.0529,                0.86362,                0.79801,                0.86222,                0.70209,                0.79812,                0.60303,                0.96007,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     44,                0.92514,                  0.788,                 1.0662,                0.84639,                 0.8089,                0.86507,                0.70294,                0.79434,                 0.6012,                0.95811,              6.952e-05,              6.952e-05,              6.952e-05
                     45,                0.88095,                0.79071,                 1.0511,                0.84381,                 0.8098,                0.86129,                0.70387,                 0.7912,                0.60238,                0.95653,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     46,                0.91322,                0.78253,                 1.0562,                0.84863,                0.79489,                0.86293,                0.70462,                0.78856,                0.60328,                0.95514,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     47,                0.86694,                0.79164,                 1.0678,                0.90538,                0.77324,                0.86483,                0.70838,                0.78758,                0.59752,                0.95398,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     48,                0.87847,                0.76501,                 1.0523,                0.91802,                0.76428,                0.86592,                0.70728,                0.78635,                0.59338,                0.95349,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     49,                0.93643,                  0.799,                 1.0636,                0.92408,                0.76123,                0.86649,                0.70921,                0.78469,                0.58933,                0.95276,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     50,                0.91686,                0.79565,                 1.0775,                0.92202,                0.76013,                0.86724,                0.71205,                0.78228,                0.58745,                0.95168,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     51,                 0.8907,                0.74753,                 1.0586,                 0.8391,                0.80816,                0.86694,                0.71371,                0.78107,                0.58306,                0.95117,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     52,                0.88402,                0.77408,                 1.0606,                0.85258,                0.79875,                0.86672,                0.71314,                0.78056,                0.58054,                0.95043,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     53,                0.84283,                 0.7404,                 1.0485,                0.89186,                0.78572,                0.86935,                0.71099,                 0.7794,                0.57595,                0.95033,             5.8917e-05,             5.8917e-05,             5.8917e-05
